Name,Brand,Model,Year,Kms_Driven,Owner,Fuel,Drive,Type,Price
Maruti Dzire,MARUTI,DZIRE,2017,74344,1,DIESEL,MANUAL,SEDAN,697000
Hyundai Verna,HYUNDAI,VERNA,2017,31198,1,PETROL,MANUAL,SEDAN,782000
Maruti A Star,MARUTI,OTHER,2010,46559,1,PETROL,MANUAL,HATCHBACK,175000
Hyundai Elite i20,HYUNDAI,ELITE I20,2017,27172,1,PETROL,MANUAL,HATCHBACK,693000
Maruti Swift Dzire,MARUTI,DZIRE,2012,121911,1,DIESEL,MANUAL,SEDAN,394000
Hyundai Verna,HYUNDAI,VERNA,2016,95667,3,DIESEL,MANUAL,SEDAN,564000
Hyundai Eon,HYUNDAI,EON,2017,39577,1,PETROL,MANUAL,HATCHBACK,319000
Honda Amaze,HONDA,AMAZE,2020,38595,1,PETROL,AUTOMATIC,SEDAN,963000
Maruti Swift,MARUTI,SWIFT,2013,62217,1,PETROL,MANUAL,HATCHBACK,472000
Hyundai Creta,HYUNDAI,CRETA,2019,48494,1,CNG,AUTOMATIC,SUV,1108000
Hyundai i10,HYUNDAI,I10,2012,31474,1,PETROL,AUTOMATIC,HATCHBACK,398000
Hyundai Grand i10,HYUNDAI,GRAND I10,2017,39595,1,PETROL,MANUAL,HATCHBACK,555000
Honda City,HONDA,CITY,2019,32764,1,PETROL,MANUAL,SEDAN,677000
Tata Tiago,TATA,TIAGO,2019,56261,1,PETROL,MANUAL,HATCHBACK,475000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2017,40045,2,PETROL,AUTOMATIC,HATCHBACK,389000
Maruti Swift,MARUTI,SWIFT,2017,21736,1,PETROL,MANUAL,HATCHBACK,562000
Tata Tiago,TATA,TIAGO,2018,37814,1,PETROL,AUTOMATIC,HATCHBACK,585000
Hyundai Eon,HYUNDAI,EON,2017,31803,1,PETROL,MANUAL,HATCHBACK,332000
Hyundai Elite i20,HYUNDAI,ELITE I20,2017,80030,1,PETROL,MANUAL,HATCHBACK,661000
Hyundai Creta,HYUNDAI,CRETA,2018,61943,2,DIESEL,MANUAL,SUV,828000
Hyundai Elite i20,HYUNDAI,ELITE I20,2019,26880,2,PETROL,MANUAL,HATCHBACK,703000
Hyundai Grand i10,HYUNDAI,GRAND I10,2016,64115,1,PETROL,MANUAL,HATCHBACK,488000
Skoda Rapid,SKODA,RAPID,2016,98376,1,DIESEL,MANUAL,SEDAN,691000
Hyundai Elite i20,HYUNDAI,ELITE I20,2015,21693,1,PETROL,MANUAL,HATCHBACK,570000
Volkswagen Vento,VOLKSWAGEN,VENTO,2015,79288,1,PETROL,AUTOMATIC,SEDAN,501000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2014,38529,1,CNG,MANUAL,HATCHBACK,366000
Maruti New Wagon-R,MARUTI,NEW WAGON R,2019,53085,1,CNG,MANUAL,HATCHBACK,519000
Honda Brio,HONDA,BRIO,2013,68384,1,PETROL,MANUAL,HATCHBACK,269000
Volkswagen Ameo,VOLKSWAGEN,AMEO,2016,95116,1,DIESEL,MANUAL,SEDAN,511000
Maruti New Wagon-R,MARUTI,NEW WAGON R,2021,18457,1,CNG,MANUAL,HATCHBACK,623000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2014,23760,1,PETROL,MANUAL,HATCHBACK,276000
Maruti IGNIS,MARUTI,IGNIS,2021,45873,1,PETROL,MANUAL,HATCHBACK,527000
Maruti Alto,MARUTI,ALTO,2012,100100,1,PETROL,MANUAL,HATCHBACK,236000
Hyundai VENUE,HYUNDAI,VENUE,2019,36675,2,PETROL,AUTOMATIC,SUV,937000
Maruti Swift,MARUTI,SWIFT,2017,61280,2,PETROL,MANUAL,HATCHBACK,594000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2017,62419,1,CNG,MANUAL,HATCHBACK,392000
Renault Duster,RENAULT,DUSTER,2019,5933,1,PETROL,AUTOMATIC,SUV,852000
Maruti Alto K10,MARUTI,ALTO K10,2017,35112,2,PETROL,MANUAL,HATCHBACK,345000
Hyundai Grand i10,HYUNDAI,GRAND I10,2017,22294,1,PETROL,MANUAL,HATCHBACK,571000
Hyundai Elite i20,HYUNDAI,ELITE I20,2019,67449,2,PETROL,MANUAL,HATCHBACK,647000
Maruti Ciaz,MARUTI,CIAZ,2017,14010,1,PETROL,AUTOMATIC,SEDAN,1144000
Hyundai GRAND I10 NIOS,HYUNDAI,GRAND I10 NIOS,2021,34714,1,CNG,MANUAL,HATCHBACK,701000
Honda Brio,HONDA,BRIO,2012,87713,2,PETROL,MANUAL,HATCHBACK,248000
Maruti Zen Estilo,MARUTI,OTHER,2010,79176,2,PETROL,MANUAL,HATCHBACK,159000
Honda City,HONDA,CITY,2017,106933,1,PETROL,MANUAL,SEDAN,322000
Honda Jazz,HONDA,JAZZ,2018,35099,1,PETROL,MANUAL,HATCHBACK,610000
Honda Jazz,HONDA,JAZZ,2015,98051,1,DIESEL,MANUAL,HATCHBACK,467000
Honda City,HONDA,CITY,2017,74573,1,PETROL,AUTOMATIC,SEDAN,746000
Maruti Alto 800,MARUTI,ALTO 800,2018,21549,1,PETROL,MANUAL,HATCHBACK,313000
Hyundai Grand i10,HYUNDAI,GRAND I10,2017,43926,1,PETROL,MANUAL,HATCHBACK,405000
Maruti Swift,MARUTI,SWIFT,2012,42762,1,PETROL,MANUAL,HATCHBACK,487000
Maruti Baleno,MARUTI,BALENO,2016,57404,1,DIESEL,MANUAL,HATCHBACK,632000
Hyundai Creta,HYUNDAI,CRETA,2018,67341,1,DIESEL,MANUAL,SUV,1080000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2011,70937,3,PETROL,MANUAL,HATCHBACK,242000
Honda Brio,HONDA,BRIO,2014,50670,2,PETROL,MANUAL,HATCHBACK,418000
Maruti Baleno,MARUTI,BALENO,2016,63328,1,PETROL,AUTOMATIC,HATCHBACK,622000
Hyundai i10,HYUNDAI,I10,2014,47025,1,PETROL,MANUAL,HATCHBACK,364000
Hyundai Verna,HYUNDAI,VERNA,2013,45517,1,DIESEL,MANUAL,SEDAN,413000
Maruti Alto 800,MARUTI,ALTO 800,2019,32402,1,PETROL,MANUAL,HATCHBACK,301000
Maruti Swift Dzire,MARUTI,DZIRE,2016,73201,1,DIESEL,MANUAL,SEDAN,544000
Datsun Go,DATSUN,OTHER,2016,47323,1,PETROL,MANUAL,HATCHBACK,212000
Maruti IGNIS,MARUTI,IGNIS,2017,67242,2,PETROL,AUTOMATIC,HATCHBACK,509000
Maruti A Star,MARUTI,OTHER,2010,18589,1,PETROL,MANUAL,HATCHBACK,150000
Toyota YARIS,TOYOTA,YARIS,2020,103777,1,PETROL,MANUAL,SEDAN,628000
Maruti Alto,MARUTI,ALTO,2010,9129,1,PETROL,MANUAL,HATCHBACK,150000
Hyundai Elite i20,HYUNDAI,ELITE I20,2016,90374,1,PETROL,MANUAL,HATCHBACK,624000
Maruti Celerio,MARUTI,CELERIO,2015,50934,1,PETROL,AUTOMATIC,HATCHBACK,390000
Honda Jazz,HONDA,JAZZ,2017,69745,1,PETROL,MANUAL,HATCHBACK,498000
Volkswagen Polo,VOLKSWAGEN,POLO,2018,32406,2,PETROL,MANUAL,HATCHBACK,578000
Maruti Dzire,MARUTI,DZIRE,2021,40394,2,PETROL,AUTOMATIC,SEDAN,731000
Hyundai Eon,HYUNDAI,EON,2017,119490,1,PETROL,MANUAL,HATCHBACK,279000
Hyundai Creta,HYUNDAI,CRETA,2017,80702,1,DIESEL,AUTOMATIC,SUV,1098000
Maruti Vitara Brezza,MARUTI,VITARA BREZZA,2021,34541,1,PETROL,MANUAL,SUV,907000
Hyundai Grand i10,HYUNDAI,GRAND I10,2019,46210,2,PETROL,MANUAL,HATCHBACK,430000
Hyundai VENUE,HYUNDAI,VENUE,2021,13342,1,PETROL,MANUAL,SUV,991000
Toyota Corolla Altis,TOYOTA,COROLLA ALTIS,2017,66207,1,PETROL,AUTOMATIC,LUX_SEDAN,1086000
Maruti S Cross,MARUTI,S CROSS,2017,70930,1,DIESEL,MANUAL,SUV,645000
Toyota Etios Liva,TOYOTA,ETIOS LIVA,2018,90753,1,DIESEL,MANUAL,HATCHBACK,508000
Toyota Etios Liva,TOYOTA,ETIOS LIVA,2011,55314,1,PETROL,MANUAL,HATCHBACK,213000
Maruti Baleno,MARUTI,BALENO,2018,18335,1,PETROL,MANUAL,HATCHBACK,636000
Maruti Baleno,MARUTI,BALENO,2019,48397,2,PETROL,MANUAL,HATCHBACK,550000
Tata TIGOR,TATA,TIGOR,2021,31271,1,PETROL,AUTOMATIC,SEDAN,706000
Hyundai Elite i20,HYUNDAI,ELITE I20,2016,56136,2,PETROL,MANUAL,HATCHBACK,523000
Maruti Zen Estilo,MARUTI,OTHER,2010,35817,1,PETROL,MANUAL,HATCHBACK,147000
Mahindra XUV500,MAHINDRA,XUV500,2017,77254,1,DIESEL,MANUAL,LUX_SUV,1076350
Mahindra XUV 3OO,MAHINDRA,XUV 3OO,2019,57202,1,PETROL,MANUAL,SUV,974000
Ford Ecosport,FORD,ECOSPORT,2017,91641,1,PETROL,AUTOMATIC,SUV,651000
Maruti Alto 800,MARUTI,ALTO 800,2014,32586,2,PETROL,MANUAL,HATCHBACK,216000
Maruti Alto 800,MARUTI,ALTO 800,2018,63556,1,PETROL,MANUAL,HATCHBACK,341000
Maruti Alto K10,MARUTI,ALTO K10,2011,63122,1,PETROL,MANUAL,HATCHBACK,163000
Honda City,HONDA,CITY,2017,66960,1,PETROL,MANUAL,SEDAN,494000
Maruti Alto,MARUTI,ALTO,2020,28328,1,PETROL,MANUAL,HATCHBACK,409000
Maruti IGNIS,MARUTI,IGNIS,2017,51788,1,CNG,AUTOMATIC,HATCHBACK,613000
Hyundai Grand i10,HYUNDAI,GRAND I10,2017,56218,1,PETROL,AUTOMATIC,HATCHBACK,559000
Maruti Ciaz,MARUTI,CIAZ,2016,55437,2,PETROL,MANUAL,SEDAN,661000
Maruti New Wagon-R,MARUTI,NEW WAGON R,2019,43236,2,PETROL,MANUAL,HATCHBACK,467000
Maruti Swift,MARUTI,SWIFT,2018,45911,1,PETROL,AUTOMATIC,HATCHBACK,729000
Renault Kwid,RENAULT,KWID,2018,27862,3,PETROL,MANUAL,HATCHBACK,345000
Maruti Alto,MARUTI,ALTO,2021,20340,1,CNG,MANUAL,HATCHBACK,465000
Hyundai AURA,HYUNDAI,AURA,2021,21923,1,PETROL,MANUAL,SEDAN,672000
Maruti Ciaz,MARUTI,CIAZ,2022,33151,1,PETROL,AUTOMATIC,SEDAN,851000
Maruti Celerio,MARUTI,CELERIO,2019,103872,1,CNG,MANUAL,HATCHBACK,509000
Tata Tiago,TATA,TIAGO,2017,70952,1,PETROL,MANUAL,HATCHBACK,488000
Maruti Celerio,MARUTI,CELERIO,2017,49815,1,PETROL,AUTOMATIC,HATCHBACK,520000
Renault Duster,RENAULT,DUSTER,2018,61426,2,PETROL,MANUAL,SUV,711000
Maruti Swift,MARUTI,SWIFT,2020,64086,1,PETROL,AUTOMATIC,HATCHBACK,705000
Hyundai Creta,HYUNDAI,CRETA,2020,41003,1,PETROL,AUTOMATIC,SUV,1492000
Honda City,HONDA,CITY,2021,19497,1,PETROL,MANUAL,SEDAN,1250000
Ford Ecosport,FORD,ECOSPORT,2018,24567,2,PETROL,MANUAL,SUV,945000
Maruti Swift,MARUTI,SWIFT,2017,71763,1,PETROL,MANUAL,HATCHBACK,478000
Renault Kwid,RENAULT,KWID,2018,71789,1,PETROL,AUTOMATIC,HATCHBACK,406000
Tata Tiago,TATA,TIAGO,2017,25704,1,PETROL,AUTOMATIC,HATCHBACK,508000
Maruti Baleno,MARUTI,BALENO,2016,51002,2,PETROL,MANUAL,HATCHBACK,531000
Tata ALTROZ,TATA,ALTROZ,2021,12280,1,PETROL,MANUAL,HATCHBACK,792000
Hyundai Elite i20,HYUNDAI,ELITE I20,2014,47140,1,DIESEL,MANUAL,HATCHBACK,591000
Maruti Baleno,MARUTI,BALENO,2018,60684,1,PETROL,MANUAL,HATCHBACK,591000
Hyundai Grand i10,HYUNDAI,GRAND I10,2015,32168,1,PETROL,MANUAL,HATCHBACK,535000
Renault Kwid,RENAULT,KWID,2020,56485,1,PETROL,MANUAL,HATCHBACK,412000
Tata Tiago,TATA,TIAGO,2020,51040,1,PETROL,AUTOMATIC,HATCHBACK,627000
Honda Amaze,HONDA,AMAZE,2014,12288,2,PETROL,MANUAL,SEDAN,659000
Volkswagen Polo,VOLKSWAGEN,POLO,2014,76583,3,PETROL,MANUAL,HATCHBACK,410000
Hyundai Verna,HYUNDAI,VERNA,2018,28388,1,PETROL,MANUAL,SEDAN,781000
Maruti S PRESSO,MARUTI,S PRESSO,2020,21226,1,PETROL,MANUAL,HATCHBACK,485000
Renault Kwid,RENAULT,KWID,2021,1680,1,PETROL,AUTOMATIC,HATCHBACK,525000
Hyundai Santro Xing,HYUNDAI,SANTRO XING,2013,6111,2,PETROL,MANUAL,HATCHBACK,226000
Hyundai Grand i10,HYUNDAI,GRAND I10,2017,19924,1,PETROL,MANUAL,HATCHBACK,496000
Hyundai Grand i10,HYUNDAI,GRAND I10,2016,29966,1,PETROL,MANUAL,HATCHBACK,513000
Hyundai Grand i10,HYUNDAI,GRAND I10,2018,11097,1,PETROL,MANUAL,HATCHBACK,503000
Hyundai i10,HYUNDAI,I10,2016,42444,1,PETROL,MANUAL,HATCHBACK,396000
Hyundai Elite i20,HYUNDAI,ELITE I20,2017,32289,2,PETROL,AUTOMATIC,HATCHBACK,687000
Maruti Ertiga,MARUTI,ERTIGA,2016,65151,1,PETROL,MANUAL,SUV,795000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2014,82749,2,CNG,MANUAL,HATCHBACK,292000
Hyundai Elite i20,HYUNDAI,ELITE I20,2019,75000,1,PETROL,MANUAL,HATCHBACK,710000
Hyundai GRAND I10 NIOS,HYUNDAI,GRAND I10 NIOS,2022,23005,1,CNG,MANUAL,HATCHBACK,749000
Tata ALTROZ,TATA,ALTROZ,2020,27651,1,PETROL,MANUAL,HATCHBACK,525000
Honda City,HONDA,CITY,2014,66138,2,PETROL,MANUAL,SEDAN,722000
Tata NEXON,TATA,NEXON,2019,70632,1,PETROL,AUTOMATIC,SUV,862000
Maruti Alto 800,MARUTI,ALTO 800,2019,29095,2,PETROL,MANUAL,HATCHBACK,279000
Maruti Alto 800,MARUTI,ALTO 800,2018,9370,1,PETROL,MANUAL,HATCHBACK,336000
Hyundai Creta,HYUNDAI,CRETA,2016,65117,1,PETROL,MANUAL,SUV,784000
Hyundai NEW SANTRO,HYUNDAI,NEW SANTRO,2021,39295,1,CNG,MANUAL,HATCHBACK,583000
Datsun Go Plus,DATSUN,GO PLUS,2018,27977,1,PETROL,MANUAL,HATCHBACK,334000
Ford Ecosport,FORD,ECOSPORT,2014,54379,1,PETROL,MANUAL,SUV,480000
Hyundai Creta,HYUNDAI,CRETA,2018,71764,1,DIESEL,MANUAL,SUV,1122000
Maruti Dzire,MARUTI,DZIRE,2019,20981,1,PETROL,MANUAL,SEDAN,646000
Hyundai NEW SANTRO,HYUNDAI,NEW SANTRO,2019,74504,1,PETROL,MANUAL,HATCHBACK,404000
Maruti S PRESSO,MARUTI,S PRESSO,2020,44001,1,CNG,MANUAL,HATCHBACK,486000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2015,57441,3,PETROL,MANUAL,HATCHBACK,342000
Honda Jazz,HONDA,JAZZ,2017,59453,1,PETROL,AUTOMATIC,HATCHBACK,583000
Maruti Swift,MARUTI,SWIFT,2018,70839,1,DIESEL,MANUAL,HATCHBACK,634000
Honda Jazz,HONDA,JAZZ,2015,52544,1,PETROL,MANUAL,HATCHBACK,422000
Mahindra KUV 100 NXT,MAHINDRA,OTHER,2018,12882,1,PETROL,MANUAL,SUV,383000
Hyundai i20 Active,HYUNDAI,I20 ACTIVE,2016,61631,2,PETROL,MANUAL,HATCHBACK,482000
Hyundai Elite i20,HYUNDAI,ELITE I20,2014,69351,1,PETROL,MANUAL,HATCHBACK,430000
Hyundai Elite i20,HYUNDAI,ELITE I20,2016,33329,1,PETROL,MANUAL,HATCHBACK,577000
Hyundai Eon,HYUNDAI,EON,2014,38385,1,PETROL,MANUAL,HATCHBACK,215000
Hyundai NEW SANTRO,HYUNDAI,NEW SANTRO,2020,23731,2,PETROL,MANUAL,HATCHBACK,469000
Maruti Baleno,MARUTI,BALENO,2020,29716,1,PETROL,MANUAL,HATCHBACK,586000
Hyundai Elite i20,HYUNDAI,ELITE I20,2017,39801,2,PETROL,MANUAL,HATCHBACK,550000
Tata NEXON,TATA,NEXON,2019,4884,2,PETROL,AUTOMATIC,SUV,817000
Tata ALTROZ,TATA,ALTROZ,2021,33411,1,DIESEL,MANUAL,HATCHBACK,842000
Maruti Alto 800,MARUTI,ALTO 800,2015,63330,1,PETROL,MANUAL,HATCHBACK,296600
Maruti Swift Dzire,MARUTI,DZIRE,2013,108633,1,DIESEL,MANUAL,SEDAN,503000
Renault Kwid,RENAULT,KWID,2017,35417,1,PETROL,MANUAL,HATCHBACK,307000
Honda Amaze,HONDA,AMAZE,2013,56364,1,PETROL,MANUAL,SEDAN,340000
Volkswagen Polo,VOLKSWAGEN,POLO,2020,94796,1,PETROL,MANUAL,HATCHBACK,548000
Hyundai Elite i20,HYUNDAI,ELITE I20,2018,40673,1,PETROL,MANUAL,HATCHBACK,656000
Hyundai Elite i20,HYUNDAI,ELITE I20,2018,56838,2,PETROL,MANUAL,HATCHBACK,522000
Hyundai Verna,HYUNDAI,VERNA,2018,57187,1,PETROL,MANUAL,SEDAN,270000
Hyundai Verna,HYUNDAI,VERNA,2013,39461,1,PETROL,AUTOMATIC,SEDAN,746000
Maruti XL6,MARUTI,OTHER,2021,25692,1,PETROL,AUTOMATIC,SUV,1139000
Maruti Alto 800,MARUTI,ALTO 800,2016,48071,1,PETROL,MANUAL,HATCHBACK,322000
Hyundai i10,HYUNDAI,I10,2011,104145,1,PETROL,MANUAL,HATCHBACK,196000
Renault Kiger,RENAULT,KIGER,2021,16466,1,PETROL,MANUAL,HATCHBACK,637750
Hyundai Elite i20,HYUNDAI,ELITE I20,2020,40560,1,PETROL,MANUAL,HATCHBACK,790000
Maruti Baleno,MARUTI,BALENO,2017,25405,1,PETROL,MANUAL,HATCHBACK,546000
Tata Tiago,TATA,TIAGO,2018,54616,1,PETROL,MANUAL,HATCHBACK,390000
Ford Ecosport,FORD,ECOSPORT,2015,35133,1,PETROL,MANUAL,SUV,574000
Hyundai Creta,HYUNDAI,CRETA,2019,43008,1,PETROL,AUTOMATIC,SUV,1153000
Renault Kwid,RENAULT,KWID,2019,14052,1,PETROL,MANUAL,HATCHBACK,425000
Honda Amaze,HONDA,AMAZE,2020,66712,1,PETROL,MANUAL,SEDAN,589650
Maruti Swift Dzire,MARUTI,DZIRE,2016,70940,1,PETROL,MANUAL,SEDAN,582000
Mahindra XUV 3OO,MAHINDRA,XUV 3OO,2021,48096,1,PETROL,MANUAL,SUV,989000
Ford Ecosport,FORD,ECOSPORT,2019,43760,1,DIESEL,MANUAL,SUV,802000
Hyundai Grand i10,HYUNDAI,GRAND I10,2019,20606,2,PETROL,MANUAL,HATCHBACK,564000
Maruti Swift,MARUTI,SWIFT,2015,97286,1,PETROL,MANUAL,HATCHBACK,405000
Hyundai Eon,HYUNDAI,EON,2012,43507,1,PETROL,MANUAL,HATCHBACK,225000
Hyundai Elite i20,HYUNDAI,ELITE I20,2017,60136,1,PETROL,MANUAL,HATCHBACK,692000
Toyota Etios Liva,TOYOTA,ETIOS LIVA,2012,55894,2,PETROL,MANUAL,HATCHBACK,222000
Maruti Ciaz,MARUTI,CIAZ,2018,34935,1,PETROL,MANUAL,SEDAN,708000
Maruti Swift Dzire,MARUTI,DZIRE,2011,91841,1,PETROL,MANUAL,SEDAN,772000
Hyundai Elite i20,HYUNDAI,ELITE I20,2017,17127,1,PETROL,MANUAL,HATCHBACK,529000
Ford FREESTYLE,FORD,FREESTYLE,2018,42024,1,PETROL,MANUAL,SUV,571000
Maruti Ciaz,MARUTI,CIAZ,2018,28048,1,PETROL,MANUAL,SEDAN,820000
Hyundai NEW I20,HYUNDAI,NEW I20,2021,10444,1,PETROL,MANUAL,HATCHBACK,781000
Honda WR-V,HONDA,WR V,2017,58216,1,PETROL,MANUAL,SUV,668000
Hyundai Verna,HYUNDAI,VERNA,2018,46688,1,PETROL,MANUAL,SEDAN,672000
Tata Tiago,TATA,TIAGO,2018,34217,1,DIESEL,MANUAL,HATCHBACK,616000
Hyundai Grand i10,HYUNDAI,GRAND I10,2014,55842,2,PETROL,MANUAL,HATCHBACK,361000
Tata Tiago,TATA,TIAGO,2018,25869,3,PETROL,AUTOMATIC,HATCHBACK,402000
Maruti Swift,MARUTI,SWIFT,2013,76606,1,PETROL,MANUAL,HATCHBACK,335000
Hyundai i20 Active,HYUNDAI,I20 ACTIVE,2017,25467,1,PETROL,MANUAL,HATCHBACK,586000
Hyundai Grand i10,HYUNDAI,GRAND I10,2017,17427,1,PETROL,MANUAL,HATCHBACK,483000
Maruti Baleno,MARUTI,BALENO,2017,39175,1,PETROL,MANUAL,HATCHBACK,616000
Hyundai Elite i20,HYUNDAI,ELITE I20,2017,60372,1,PETROL,MANUAL,HATCHBACK,567000
Maruti Ciaz,MARUTI,CIAZ,2015,31093,1,DIESEL,AUTOMATIC,SEDAN,717000
Maruti Baleno,MARUTI,BALENO,2020,13074,1,PETROL,MANUAL,HATCHBACK,815000
Maruti Celerio,MARUTI,CELERIO,2014,117617,1,CNG,MANUAL,HATCHBACK,321000
Honda Amaze,HONDA,AMAZE,2018,26502,2,PETROL,MANUAL,SEDAN,805000
Hyundai Elite i20,HYUNDAI,ELITE I20,2015,43948,1,PETROL,MANUAL,HATCHBACK,504200
Hyundai Eon,HYUNDAI,EON,2015,19508,2,PETROL,MANUAL,HATCHBACK,275000
Toyota URBAN CRUISER,TOYOTA,OTHER,2021,3005,1,PETROL,AUTOMATIC,SUV,1098000
Honda Jazz,HONDA,JAZZ,2017,35228,2,PETROL,MANUAL,HATCHBACK,496000
Maruti S Cross,MARUTI,S CROSS,2020,21540,1,PETROL,MANUAL,SUV,1026000
Honda City,HONDA,CITY,2014,70330,2,DIESEL,MANUAL,SEDAN,404000
Maruti Swift,MARUTI,SWIFT,2014,67081,2,PETROL,MANUAL,HATCHBACK,390000
Maruti Celerio,MARUTI,CELERIO,2015,17140,1,PETROL,MANUAL,HATCHBACK,439000
Maruti Baleno,MARUTI,BALENO,2022,6951,1,PETROL,MANUAL,HATCHBACK,875000
Maruti Alto,MARUTI,ALTO,2021,52604,1,CNG,MANUAL,HATCHBACK,435000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2012,52633,1,PETROL,MANUAL,HATCHBACK,265000
Skoda Rapid,SKODA,RAPID,2013,24632,1,PETROL,MANUAL,SEDAN,697000
Maruti Celerio,MARUTI,CELERIO,2019,16068,2,PETROL,MANUAL,HATCHBACK,509000
Maruti Alto 800,MARUTI,ALTO 800,2016,89634,1,PETROL,MANUAL,HATCHBACK,292000
Skoda Rapid,SKODA,RAPID,2018,94375,2,PETROL,MANUAL,SEDAN,590000
Hyundai i20,HYUNDAI,I20,2010,41235,3,PETROL,MANUAL,HATCHBACK,207000
Maruti Swift,MARUTI,SWIFT,2013,85326,2,DIESEL,MANUAL,HATCHBACK,416000
Volkswagen Vento,VOLKSWAGEN,VENTO,2020,80772,1,PETROL,MANUAL,SEDAN,617000
Maruti Alto 800,MARUTI,ALTO 800,2018,65083,1,PETROL,MANUAL,HATCHBACK,288000
Maruti Dzire,MARUTI,DZIRE,2017,39051,1,PETROL,AUTOMATIC,SEDAN,912000
Hyundai Grand i10,HYUNDAI,GRAND I10,2014,42866,2,PETROL,MANUAL,HATCHBACK,371000
Hyundai Elite i20,HYUNDAI,ELITE I20,2019,26416,2,PETROL,AUTOMATIC,HATCHBACK,845000
Maruti Swift Dzire,MARUTI,DZIRE,2016,92864,1,DIESEL,MANUAL,SEDAN,525000
Maruti Swift,MARUTI,SWIFT,2019,56187,1,PETROL,MANUAL,HATCHBACK,537000
Maruti Dzire,MARUTI,DZIRE,2022,55313,2,PETROL,AUTOMATIC,SEDAN,873000
Hyundai Grand i10,HYUNDAI,GRAND I10,2018,21558,2,PETROL,MANUAL,HATCHBACK,510000
Hyundai Tucson New,HYUNDAI,OTHER,2018,42864,1,PETROL,MANUAL,LUX_SUV,1485000
Hyundai Creta,HYUNDAI,CRETA,2017,116844,1,PETROL,AUTOMATIC,SUV,883000
Hyundai Verna,HYUNDAI,VERNA,2021,37842,1,PETROL,AUTOMATIC,SEDAN,1360000
Hyundai AURA,HYUNDAI,AURA,2020,49931,1,PETROL,MANUAL,SEDAN,611000
Volkswagen Jetta,VOLKSWAGEN,OTHER,2016,62577,1,PETROL,MANUAL,SEDAN,736000
Maruti New Wagon-R,MARUTI,NEW WAGON R,2020,9739,1,PETROL,MANUAL,HATCHBACK,507000
Maruti Swift,MARUTI,SWIFT,2014,50109,1,PETROL,MANUAL,HATCHBACK,572000
Renault Kiger,RENAULT,KIGER,2021,30423,2,PETROL,MANUAL,HATCHBACK,836000
Maruti Swift Dzire,MARUTI,DZIRE,2014,60391,2,PETROL,AUTOMATIC,SEDAN,389000
Maruti Swift Dzire,MARUTI,DZIRE,2014,63385,1,PETROL,MANUAL,SEDAN,502000
Maruti Baleno,MARUTI,BALENO,2017,51536,1,PETROL,AUTOMATIC,HATCHBACK,653000
Hyundai Elite i20,HYUNDAI,ELITE I20,2015,71332,1,PETROL,MANUAL,HATCHBACK,533000
Hyundai i20,HYUNDAI,I20,2014,47092,2,PETROL,MANUAL,HATCHBACK,525000
Maruti Celerio X,MARUTI,CELERIO X,2018,84419,1,PETROL,AUTOMATIC,HATCHBACK,452000
Hyundai Grand i10,HYUNDAI,GRAND I10,2018,100624,1,PETROL,MANUAL,HATCHBACK,505000
Maruti Dzire,MARUTI,DZIRE,2019,26671,1,PETROL,AUTOMATIC,SEDAN,1027000
Hyundai VENUE,HYUNDAI,VENUE,2021,26508,1,PETROL,MANUAL,SUV,814000
Maruti IGNIS,MARUTI,IGNIS,2018,77588,1,PETROL,MANUAL,HATCHBACK,436000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2011,71209,1,CNG,MANUAL,HATCHBACK,216000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2016,75049,1,PETROL,MANUAL,HATCHBACK,344000
Maruti Ritz,MARUTI,RITZ,2010,86997,1,DIESEL,MANUAL,HATCHBACK,329000
Maruti Swift,MARUTI,SWIFT,2019,47296,1,PETROL,MANUAL,HATCHBACK,710000
Maruti Vitara Brezza,MARUTI,VITARA BREZZA,2019,87576,1,DIESEL,AUTOMATIC,SUV,754000
Maruti Alto K10,MARUTI,ALTO K10,2010,29255,1,PETROL,MANUAL,HATCHBACK,181000
Maruti Alto K10,MARUTI,ALTO K10,2011,15985,1,PETROL,MANUAL,HATCHBACK,196000
Hyundai i10,HYUNDAI,I10,2015,66578,2,PETROL,MANUAL,HATCHBACK,348000
Hyundai Elite i20,HYUNDAI,ELITE I20,2016,92135,2,PETROL,MANUAL,HATCHBACK,545000
Maruti Dzire,MARUTI,DZIRE,2018,24008,1,PETROL,MANUAL,SEDAN,798000
Maruti Swift Dzire,MARUTI,DZIRE,2016,23687,1,PETROL,MANUAL,SEDAN,822000
Hyundai Elite i20,HYUNDAI,ELITE I20,2015,112978,1,DIESEL,MANUAL,HATCHBACK,593000
Hyundai Xcent,HYUNDAI,XCENT,2017,65109,1,PETROL,MANUAL,SEDAN,536000
